Image,Rights,Caption
urn:cite:bnf:gr2700img.bnf2700_img114,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 52 verso"
urn:cite:bnf:gr2700img.bnf2700_img115,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 53 recto"
urn:cite:bnf:gr2700img.bnf2700_img116,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 53 verso"
urn:cite:bnf:gr2700img.bnf2700_img117,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 54 recto"
urn:cite:bnf:gr2700img.bnf2700_img118,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 54 verso"
urn:cite:bnf:gr2700img.bnf2700_img119,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 55 recto"
urn:cite:bnf:gr2700img.bnf2700_img120,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 55 verso"
urn:cite:bnf:gr2700img.bnf2700_img121,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 56 recto"
urn:cite:bnf:gr2700img.bnf2700_img122,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 56 verso"
urn:cite:bnf:gr2700img.bnf2700_img123,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 57 recto"
urn:cite:bnf:gr2700img.bnf2700_img124,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 57 verso"
urn:cite:bnf:gr2700img.bnf2700_img125,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 58 recto"
urn:cite:bnf:gr2700img.bnf2700_img126,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 58 verso"
urn:cite:bnf:gr2700img.bnf2700_img127,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 59 recto"
urn:cite:bnf:gr2700img.bnf2700_img128,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 59 verso"
urn:cite:bnf:gr2700img.bnf2700_img129,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 60 recto"
urn:cite:bnf:gr2700img.bnf2700_img130,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 60 verso"
urn:cite:bnf:gr2700img.bnf2700_img131,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 61 recto"
urn:cite:bnf:gr2700img.bnf2700_img132,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 61 verso"
urn:cite:bnf:gr2700img.bnf2700_img133,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 62 recto"
urn:cite:bnf:gr2700img.bnf2700_img134,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 62 verso"
urn:cite:bnf:gr2700img.bnf2700_img135,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 63 recto"
urn:cite:bnf:gr2700img.bnf2700_img136,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 63 verso"
