Image,Rights,Caption
urn:cite:bnf:gr2700img.bnf2700-page101,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 46 recto"
urn:cite:bnf:gr2700img.bnf2700-page102,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 46 verso"
urn:cite:bnf:gr2700img.bnf2700-page103,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 47 recto"
urn:cite:bnf:gr2700img.bnf2700-page104,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 47 verso"
urn:cite:bnf:gr2700img.bnf2700-page105,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 48 recto"
urn:cite:bnf:gr2700img.bnf2700-page106,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 48 verso"
urn:cite:bnf:gr2700img.bnf2700-page107,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 49 recto"
urn:cite:bnf:gr2700img.bnf2700-page108,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 49 verso"
urn:cite:bnf:gr2700img.bnf2700-page109,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 50 recto"
urn:cite:bnf:gr2700img.bnf2700-page110,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 50 verso"
urn:cite:bnf:gr2700img.bnf2700-page111,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 51 recto"
urn:cite:bnf:gr2700img.bnf2700-page112,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 51 verso"
urn:cite:bnf:gr2700img.bnf2700-page113,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 52 recto"
urn:cite:bnf:gr2700img.bnf2700-page114,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 52 verso"
urn:cite:bnf:gr2700img.bnf2700-page115,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 53 recto"
urn:cite:bnf:gr2700img.bnf2700-page116,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 53 verso"
urn:cite:bnf:gr2700img.bnf2700-page117,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 54 recto"
urn:cite:bnf:gr2700img.bnf2700-page118,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 54 verso"
urn:cite:bnf:gr2700img.bnf2700-page119,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 55 recto"
urn:cite:bnf:gr2700img.bnf2700-page120,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 55 verso"
urn:cite:bnf:gr2700img.bnf2700-page121,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 56 recto"
urn:cite:bnf:gr2700img.bnf2700-page122,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 56 verso"
urn:cite:bnf:gr2700img.bnf2700-page123,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 57 recto"
urn:cite:bnf:gr2700img.bnf2700-page124,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 57 verso"
urn:cite:bnf:gr2700img.bnf2700-page125,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 58 recto"
urn:cite:bnf:gr2700img.bnf2700-page126,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 58 verso"
urn:cite:bnf:gr2700img.bnf2700-page127,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 59 recto"
urn:cite:bnf:gr2700img.bnf2700-page128,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 59 verso"
