Image,Rights,Caption
urn:cite:bnf:grsupp679img.bnfgrsupp679_img85,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 37 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img86,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 37 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img87,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 38 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img88,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 38 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img89,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 39 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img90,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 39 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img91,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 40 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img92,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 40 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img93,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 41 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img94,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 41 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img95,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 42 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img96,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 42 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img97,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 43 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img98,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 43 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img99,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 44 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img100,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 44 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img101,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 45 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img102,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 45 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img103,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 46 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img104,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 46 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img105,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 47 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img106,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 47 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img107,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 48 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img108,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 48 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img109,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 49 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img110,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 49 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img111,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 50 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img112,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 50 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img113,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 51 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img114,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 51 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img115,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 52 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img116,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 52 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img117,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 53 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img118,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 53 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img119,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 54 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img120,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 54 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img121,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 55 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img122,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 55 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img123,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 56 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img124,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 56 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img125,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 57 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img126,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 57 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img127,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 58 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img128,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 58 verso"
